region,slot_index,price_eur_per_kwh,air_damage_low_eur_per_kwh,air_damage_high_eur_per_kwh,source
FR,0,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,1,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,2,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,3,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,4,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,5,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,6,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,7,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,8,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,9,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,10,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,11,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,12,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,13,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,14,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,15,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,16,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,17,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
FR,18,0.000862,0.000227,0.003594,mix x EMEP/EEA-class EF x ETC/ATNI-class damage
