region,slot_index,utc_timestamp,opsd_region,load_mw,wind_solar_generation_mw,residual_load_mw,signal_model,source_dataset,source_url,notes
DE,0,2019-07-31T02:00:00Z,DE,45090.0,7836.0,37254.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
FR,0,2019-07-31T02:00:00Z,FR,35503.0,3974.0,31529.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
ES,0,2019-07-31T02:00:00Z,ES,23785.0,7184.0,16601.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
IT-NO,0,2019-07-31T02:00:00Z,IT_NORD,16663.0,2.0,16661.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
DE,1,2019-07-31T03:00:00Z,DE,48059.0,7478.0,40581.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
FR,1,2019-07-31T03:00:00Z,FR,37017.0,3877.0,33140.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
ES,1,2019-07-31T03:00:00Z,ES,24068.0,6771.0,17297.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
IT-NO,1,2019-07-31T03:00:00Z,IT_NORD,17359.0,4.0,17355.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
DE,2,2019-07-31T04:00:00Z,DE,54771.0,8214.0,46557.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
FR,2,2019-07-31T04:00:00Z,FR,39165.0,3790.0,35375.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
ES,2,2019-07-31T04:00:00Z,ES,25743.0,6470.0,19273.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
IT-NO,2,2019-07-31T04:00:00Z,IT_NORD,19483.0,39.0,19444.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
DE,3,2019-07-31T05:00:00Z,DE,60047.0,9571.0,50476.0,residual_load_lite_load_minus_wind_solar,"Open Power System Data time_series 2020-10-06, 60-minute singleindex",https://data.open-power-system-data.org/time_series/2020-10-06/time_series_60min_singleindex.csv,Run-of-river not subtracted because it is not consistently available in OPSD time_series_60min_singleindex.
