region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,model
DE,0,2018-07-25T00:00:00Z,16.762,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,1,2018-07-25T01:00:00Z,16.028,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,2,2018-07-25T02:00:00Z,15.622,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,3,2018-07-25T03:00:00Z,15.535,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,4,2018-07-25T04:00:00Z,15.442,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,5,2018-07-25T05:00:00Z,16.106,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,6,2018-07-25T06:00:00Z,17.019,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,7,2018-07-25T07:00:00Z,18.084,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,8,2018-07-25T08:00:00Z,19.202,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,9,2018-07-25T09:00:00Z,19.934,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,10,2018-07-25T10:00:00Z,20.038,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,11,2018-07-25T11:00:00Z,19.693,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,12,2018-07-25T12:00:00Z,19.883,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,13,2018-07-25T13:00:00Z,20.03,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,14,2018-07-25T14:00:00Z,20.03,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,15,2018-07-25T15:00:00Z,19.842,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,16,2018-07-25T16:00:00Z,19.769,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,17,2018-07-25T17:00:00Z,19.551,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,18,2018-07-25T18:00:00Z,19.415,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,19,2018-07-25T19:00:00Z,18.438,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,20,2018-07-25T20:00:00Z,18.068,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,21,2018-07-25T21:00:00Z,17.83,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,22,2018-07-25T22:00:00Z,17.534,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,23,2018-07-25T23:00:00Z,17.213,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,24,2018-07-26T00:00:00Z,17.274,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,25,2018-07-26T01:00:00Z,16.709,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,26,2018-07-26T02:00:00Z,16.683,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,27,2018-07-26T03:00:00Z,16.445,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,28,2018-07-26T04:00:00Z,16.04,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,29,2018-07-26T05:00:00Z,16.85,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,30,2018-07-26T06:00:00Z,17.872,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,31,2018-07-26T07:00:00Z,18.716,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,32,2018-07-26T08:00:00Z,19.555,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,33,2018-07-26T09:00:00Z,20.231,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,34,2018-07-26T10:00:00Z,20.494,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,35,2018-07-26T11:00:00Z,20.177,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,36,2018-07-26T12:00:00Z,19.658,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,37,2018-07-26T13:00:00Z,19.516,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,38,2018-07-26T14:00:00Z,19.516,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,39,2018-07-26T15:00:00Z,19.657,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,40,2018-07-26T16:00:00Z,19.134,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,41,2018-07-26T17:00:00Z,18.876,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,42,2018-07-26T18:00:00Z,18.854,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,43,2018-07-26T19:00:00Z,18.096,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,44,2018-07-26T20:00:00Z,17.441,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,45,2018-07-26T21:00:00Z,16.716,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,46,2018-07-26T22:00:00Z,16.386,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,47,2018-07-26T23:00:00Z,16.138,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,48,2018-07-27T00:00:00Z,16.224,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,49,2018-07-27T01:00:00Z,15.6,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,50,2018-07-27T02:00:00Z,15.388,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,51,2018-07-27T03:00:00Z,15.191,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,52,2018-07-27T04:00:00Z,15.008,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,53,2018-07-27T05:00:00Z,15.618,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,54,2018-07-27T06:00:00Z,16.552,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,55,2018-07-27T07:00:00Z,17.604,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,56,2018-07-27T08:00:00Z,18.852,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,57,2018-07-27T09:00:00Z,20.173,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,58,2018-07-27T10:00:00Z,19.733,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,59,2018-07-27T11:00:00Z,19.728,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,60,2018-07-27T12:00:00Z,19.369,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,61,2018-07-27T13:00:00Z,19.478,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,62,2018-07-27T14:00:00Z,19.43,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,63,2018-07-27T15:00:00Z,19.286,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,64,2018-07-27T16:00:00Z,19.142,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,65,2018-07-27T17:00:00Z,19.041,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,66,2018-07-27T18:00:00Z,19.025,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,67,2018-07-27T19:00:00Z,18.096,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,68,2018-07-27T20:00:00Z,17.673,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,69,2018-07-27T21:00:00Z,17.247,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,70,2018-07-27T22:00:00Z,16.948,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,71,2018-07-27T23:00:00Z,16.598,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,72,2018-07-28T00:00:00Z,16.77,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,73,2018-07-28T01:00:00Z,16.089,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,74,2018-07-28T02:00:00Z,16.397,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,75,2018-07-28T03:00:00Z,16.268,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,76,2018-07-28T04:00:00Z,15.969,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,77,2018-07-28T05:00:00Z,16.807,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,78,2018-07-28T06:00:00Z,17.587,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,79,2018-07-28T07:00:00Z,18.379,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,80,2018-07-28T08:00:00Z,18.879,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,81,2018-07-28T09:00:00Z,19.717,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,82,2018-07-28T10:00:00Z,19.501,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,83,2018-07-28T11:00:00Z,19.191,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,84,2018-07-28T12:00:00Z,20.016,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,85,2018-07-28T13:00:00Z,20.498,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,86,2018-07-28T14:00:00Z,20.444,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
DE,87,2018-07-28T15:00:00Z,20.467,0.0,1.3,dry,open-meteo archive + fixed-kappa cooling
