region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,model
DE,0,2018-07-25T00:00:00Z,16.762,0.0,1.3324,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,1,2018-07-25T01:00:00Z,16.028,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,2,2018-07-25T02:00:00Z,15.622,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,3,2018-07-25T03:00:00Z,15.535,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,4,2018-07-25T04:00:00Z,15.442,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,5,2018-07-25T05:00:00Z,16.106,0.0,1.309,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,6,2018-07-25T06:00:00Z,17.019,0.0,1.3486,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,7,2018-07-25T07:00:00Z,18.084,0.0,1.3918,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,8,2018-07-25T08:00:00Z,19.202,0.0,1.4404,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,9,2018-07-25T09:00:00Z,19.934,0.0,1.4818,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,10,2018-07-25T10:00:00Z,20.038,0.0,1.5142,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,11,2018-07-25T11:00:00Z,19.693,0.0,1.5232,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,12,2018-07-25T12:00:00Z,19.883,0.0,1.534,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,13,2018-07-25T13:00:00Z,20.03,0.0,1.5376,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,14,2018-07-25T14:00:00Z,20.03,0.0,1.5376,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,15,2018-07-25T15:00:00Z,19.842,0.0,1.5394,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,16,2018-07-25T16:00:00Z,19.769,0.0,1.5376,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,17,2018-07-25T17:00:00Z,19.551,0.0,1.5322,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,18,2018-07-25T18:00:00Z,19.415,0.0,1.5106,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,19,2018-07-25T19:00:00Z,18.438,0.0,1.4764,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,20,2018-07-25T20:00:00Z,18.068,0.0,1.444,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,21,2018-07-25T21:00:00Z,17.83,0.0,1.426,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,22,2018-07-25T22:00:00Z,17.534,0.0,1.4116,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,23,2018-07-25T23:00:00Z,17.213,0.0,1.3936,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,24,2018-07-26T00:00:00Z,17.274,0.0,1.3846,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,25,2018-07-26T01:00:00Z,16.709,0.0,1.363,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,26,2018-07-26T02:00:00Z,16.683,0.0,1.3504,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,27,2018-07-26T03:00:00Z,16.445,0.0,1.3342,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,28,2018-07-26T04:00:00Z,16.04,0.0,1.318,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,29,2018-07-26T05:00:00Z,16.85,0.0,1.3396,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,30,2018-07-26T06:00:00Z,17.872,0.0,1.381,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,31,2018-07-26T07:00:00Z,18.716,0.0,1.4188,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,32,2018-07-26T08:00:00Z,19.555,0.0,1.4602,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,33,2018-07-26T09:00:00Z,20.231,0.0,1.498,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,34,2018-07-26T10:00:00Z,20.494,0.0,1.525,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,35,2018-07-26T11:00:00Z,20.177,0.0,1.5412,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,36,2018-07-26T12:00:00Z,19.658,0.0,1.5484,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,37,2018-07-26T13:00:00Z,19.516,0.0,1.552,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,38,2018-07-26T14:00:00Z,19.516,0.0,1.552,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,39,2018-07-26T15:00:00Z,19.657,0.0,1.5556,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,40,2018-07-26T16:00:00Z,19.134,0.0,1.5574,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,41,2018-07-26T17:00:00Z,18.876,0.0,1.543,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,42,2018-07-26T18:00:00Z,18.854,0.0,1.5214,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,43,2018-07-26T19:00:00Z,18.096,0.0,1.4584,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,44,2018-07-26T20:00:00Z,17.441,0.0,1.4134,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,45,2018-07-26T21:00:00Z,16.716,0.0,1.3936,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,46,2018-07-26T22:00:00Z,16.386,0.0,1.3792,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,47,2018-07-26T23:00:00Z,16.138,0.0,1.3738,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
FR,0,2018-07-25T00:00:00Z,17.44,1.4764,1.1096,evaporative,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
FR,1,2018-07-25T01:00:00Z,17.255,1.4653,1.1076,evaporative,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
FR,2,2018-07-25T02:00:00Z,17.114,1.4568,1.1064,evaporative,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
