region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,evaporative_mode_active,evaporative_engagement,model
DE,0,2018-07-25T00:00:00Z,16.762,0.0423,1.1519,hybrid_economized,False,0.0216,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,1,2018-07-25T01:00:00Z,16.028,0.03,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,2,2018-07-25T02:00:00Z,15.622,0.03,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,3,2018-07-25T03:00:00Z,15.535,0.03,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,4,2018-07-25T04:00:00Z,15.442,0.03,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,5,2018-07-25T05:00:00Z,16.106,0.03,1.129,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,6,2018-07-25T06:00:00Z,17.019,0.0755,1.166,hybrid_economized,False,0.0793,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,7,2018-07-25T07:00:00Z,18.084,0.3434,1.1786,hybrid_economized,True,0.542,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,8,2018-07-25T08:00:00Z,19.202,0.6125,1.1668,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,9,2018-07-25T09:00:00Z,19.934,0.615,1.1806,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,10,2018-07-25T10:00:00Z,20.038,0.6154,1.1914,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,11,2018-07-25T11:00:00Z,19.693,0.6142,1.1944,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,12,2018-07-25T12:00:00Z,19.883,0.6148,1.198,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,13,2018-07-25T13:00:00Z,20.03,0.6153,1.1992,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,14,2018-07-25T14:00:00Z,20.03,0.6153,1.1992,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,15,2018-07-25T15:00:00Z,19.842,0.6147,1.1998,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,16,2018-07-25T16:00:00Z,19.769,0.6145,1.1992,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,17,2018-07-25T17:00:00Z,19.551,0.6137,1.1974,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,18,2018-07-25T18:00:00Z,19.415,0.6133,1.1902,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,19,2018-07-25T19:00:00Z,18.438,0.6096,1.1788,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,20,2018-07-25T20:00:00Z,18.068,0.6081,1.168,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,21,2018-07-25T21:00:00Z,17.83,0.5644,1.1682,hybrid_economized,True,0.9259,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,22,2018-07-25T22:00:00Z,17.534,0.3752,1.187,hybrid_economized,True,0.5994,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,23,2018-07-25T23:00:00Z,17.213,0.1119,1.2047,hybrid_economized,False,0.1426,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,24,2018-07-26T00:00:00Z,17.274,0.125,1.1953,hybrid_economized,False,0.1653,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,25,2018-07-26T01:00:00Z,16.709,0.0379,1.1824,hybrid_economized,False,0.0138,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,26,2018-07-26T02:00:00Z,16.683,0.0361,1.17,hybrid_economized,False,0.0107,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,27,2018-07-26T03:00:00Z,16.445,0.03,1.1542,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,28,2018-07-26T04:00:00Z,16.04,0.03,1.138,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,29,2018-07-26T05:00:00Z,16.85,0.0516,1.1586,hybrid_economized,False,0.0376,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,30,2018-07-26T06:00:00Z,17.872,0.2819,1.1774,hybrid_economized,False,0.4363,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,31,2018-07-26T07:00:00Z,18.716,0.5125,1.173,hybrid_economized,True,0.8308,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,32,2018-07-26T08:00:00Z,19.555,0.6137,1.1734,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,33,2018-07-26T09:00:00Z,20.231,0.616,1.186,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,34,2018-07-26T10:00:00Z,20.494,0.6168,1.195,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,35,2018-07-26T11:00:00Z,20.177,0.6158,1.2004,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,36,2018-07-26T12:00:00Z,19.658,0.6141,1.2028,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,37,2018-07-26T13:00:00Z,19.516,0.6136,1.204,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,38,2018-07-26T14:00:00Z,19.516,0.6136,1.204,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,39,2018-07-26T15:00:00Z,19.657,0.6141,1.2052,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,40,2018-07-26T16:00:00Z,19.134,0.6123,1.2058,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,41,2018-07-26T17:00:00Z,18.876,0.6113,1.201,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,42,2018-07-26T18:00:00Z,18.854,0.6112,1.1938,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,43,2018-07-26T19:00:00Z,18.096,0.6083,1.1728,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,44,2018-07-26T20:00:00Z,17.441,0.4029,1.1844,hybrid_economized,True,0.648,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,45,2018-07-26T21:00:00Z,16.716,0.1089,1.205,hybrid_economized,False,0.1379,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,46,2018-07-26T22:00:00Z,16.386,0.03,1.1992,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,47,2018-07-26T23:00:00Z,16.138,0.03,1.1938,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,0,2018-07-25T00:00:00Z,17.44,0.164,1.1565,hybrid_economized,False,0.2329,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,1,2018-07-25T01:00:00Z,17.255,0.1209,1.1506,hybrid_economized,False,0.1581,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,2,2018-07-25T02:00:00Z,17.114,0.0922,1.1467,hybrid_economized,False,0.1084,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,3,2018-07-25T03:00:00Z,17.009,0.0739,1.1405,hybrid_economized,False,0.0765,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,4,2018-07-25T04:00:00Z,16.845,0.0509,1.1235,hybrid_economized,False,0.0365,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,5,2018-07-25T05:00:00Z,16.841,0.0506,1.12,hybrid_economized,False,0.0359,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,6,2018-07-25T06:00:00Z,17.434,0.1626,1.1368,hybrid_economized,False,0.2303,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,7,2018-07-25T07:00:00Z,18.259,0.3936,1.1514,hybrid_economized,True,0.628,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,8,2018-07-25T08:00:00Z,19.119,0.5864,1.152,hybrid_economized,True,0.9558,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,9,2018-07-25T09:00:00Z,20.116,0.6156,1.1614,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,10,2018-07-25T10:00:00Z,20.837,0.6178,1.171,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,11,2018-07-25T11:00:00Z,21.106,0.6186,1.1806,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,12,2018-07-25T12:00:00Z,20.858,0.6179,1.186,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,13,2018-07-25T13:00:00Z,20.858,0.6179,1.186,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,14,2018-07-25T14:00:00Z,20.652,0.6173,1.186,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,15,2018-07-25T15:00:00Z,20.522,0.6169,1.1866,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,16,2018-07-25T16:00:00Z,20.572,0.617,1.1854,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,17,2018-07-25T17:00:00Z,20.457,0.6167,1.183,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,18,2018-07-25T18:00:00Z,20.561,0.617,1.1794,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,19,2018-07-25T19:00:00Z,20.323,0.6163,1.1674,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,20,2018-07-25T20:00:00Z,19.449,0.6129,1.1591,hybrid_economized,True,0.9991,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,21,2018-07-25T21:00:00Z,19.113,0.5856,1.1554,hybrid_economized,True,0.9544,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,22,2018-07-25T22:00:00Z,19.03,0.5735,1.1526,hybrid_economized,True,0.9341,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,23,2018-07-25T23:00:00Z,18.798,0.5305,1.1499,hybrid_economized,True,0.8614,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,24,2018-07-26T00:00:00Z,18.656,0.4986,1.1524,hybrid_economized,True,0.8073,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,25,2018-07-26T01:00:00Z,18.157,0.3644,1.1454,hybrid_economized,True,0.578,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,26,2018-07-26T02:00:00Z,17.901,0.2902,1.1401,hybrid_economized,False,0.4506,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,27,2018-07-26T03:00:00Z,17.725,0.2399,1.1336,hybrid_economized,False,0.364,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,28,2018-07-26T04:00:00Z,17.537,0.1888,1.1259,hybrid_economized,False,0.2757,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,29,2018-07-26T05:00:00Z,17.663,0.2229,1.1312,hybrid_economized,False,0.3346,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,30,2018-07-26T06:00:00Z,18.609,0.4871,1.1414,hybrid_economized,True,0.7878,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,31,2018-07-26T07:00:00Z,19.613,0.6139,1.1488,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,32,2018-07-26T08:00:00Z,20.801,0.6177,1.165,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,33,2018-07-26T09:00:00Z,21.396,0.6194,1.18,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,34,2018-07-26T10:00:00Z,21.5,0.6196,1.1908,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,35,2018-07-26T11:00:00Z,21.567,0.6198,1.1962,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,36,2018-07-26T12:00:00Z,21.114,0.6186,1.1962,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,37,2018-07-26T13:00:00Z,21.496,0.6196,1.201,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,38,2018-07-26T14:00:00Z,21.238,0.6189,1.2028,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,39,2018-07-26T15:00:00Z,21.137,0.6187,1.204,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,40,2018-07-26T16:00:00Z,20.88,0.6179,1.204,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,41,2018-07-26T17:00:00Z,20.912,0.618,1.2022,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,42,2018-07-26T18:00:00Z,22.086,0.6211,1.1968,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,43,2018-07-26T19:00:00Z,22.421,0.6218,1.186,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,44,2018-07-26T20:00:00Z,20.751,0.6176,1.1704,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,45,2018-07-26T21:00:00Z,19.956,0.6151,1.1614,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,46,2018-07-26T22:00:00Z,19.739,0.6144,1.1506,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
FR,47,2018-07-26T23:00:00Z,19.649,0.6141,1.15,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,0,2018-07-25T00:00:00Z,13.235,0.567,1.161,hybrid_economized,True,0.7407,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,1,2018-07-25T01:00:00Z,12.534,0.0923,1.1713,hybrid_economized,False,0.0741,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,2,2018-07-25T02:00:00Z,11.854,0.04,1.1488,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,3,2018-07-25T03:00:00Z,11.509,0.04,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,4,2018-07-25T04:00:00Z,11.287,0.04,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,5,2018-07-25T05:00:00Z,11.203,0.04,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ES,6,2018-07-25T06:00:00Z,11.45,0.04,1.12,hybrid_economized,False,0.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
