region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,model
DE,0,2018-05-20T00:00:00Z,9.241,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,1,2018-05-20T01:00:00Z,9.248,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,2,2018-05-20T02:00:00Z,9.16,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,3,2018-05-20T03:00:00Z,9.07,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,4,2018-05-20T04:00:00Z,9.081,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,5,2018-05-20T05:00:00Z,9.945,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,6,2018-05-20T06:00:00Z,11.147,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,7,2018-05-20T07:00:00Z,11.86,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,8,2018-05-20T08:00:00Z,12.74,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,9,2018-05-20T09:00:00Z,13.596,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,10,2018-05-20T10:00:00Z,14.395,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,11,2018-05-20T11:00:00Z,14.61,0.0,1.3162,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,12,2018-05-20T12:00:00Z,14.921,0.0,1.3198,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,13,2018-05-20T13:00:00Z,15.181,0.0,1.3252,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,14,2018-05-20T14:00:00Z,14.487,0.0,1.3108,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,15,2018-05-20T15:00:00Z,14.139,0.0,1.3036,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,16,2018-05-20T16:00:00Z,14.573,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,17,2018-05-20T17:00:00Z,14.995,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
DE,18,2018-05-20T18:00:00Z,15.298,0.0,1.3,dry,"open-meteo archive + fixed-kappa cooling, T-dependent PUE"
