region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,evaporative_mode_active,model
DE,0,2022-08-01T00:00:00Z,17.434,0.03,1.1398,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,1,2022-08-01T01:00:00Z,17.213,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,2,2022-08-01T02:00:00Z,17.056,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,3,2022-08-01T03:00:00Z,16.934,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,4,2022-08-01T04:00:00Z,16.788,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,5,2022-08-01T05:00:00Z,17.172,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,6,2022-08-01T06:00:00Z,17.696,0.03,1.1326,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,7,2022-08-01T07:00:00Z,18.143,0.6084,1.132,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,8,2022-08-01T08:00:00Z,18.441,0.6096,1.1392,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,9,2022-08-01T09:00:00Z,18.674,0.6105,1.1464,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,10,2022-08-01T10:00:00Z,18.93,0.6115,1.1554,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,11,2022-08-01T11:00:00Z,18.514,0.6099,1.1536,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,12,2022-08-01T12:00:00Z,18.8,0.611,1.1614,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,13,2022-08-01T13:00:00Z,19.105,0.6121,1.1674,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,14,2022-08-01T14:00:00Z,18.87,0.6113,1.1644,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,15,2022-08-01T15:00:00Z,18.516,0.6099,1.1644,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,16,2022-08-01T16:00:00Z,18.091,0.6082,1.1626,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,17,2022-08-01T17:00:00Z,17.861,0.6073,1.1596,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,18,2022-08-01T18:00:00Z,17.601,0.03,1.2082,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,19,2022-08-01T19:00:00Z,17.559,0.03,1.1884,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,20,2022-08-01T20:00:00Z,17.166,0.03,1.1632,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,21,2022-08-01T21:00:00Z,17.073,0.03,1.1506,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,22,2022-08-01T22:00:00Z,16.786,0.03,1.1398,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,23,2022-08-01T23:00:00Z,16.64,0.03,1.1344,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,24,2022-08-02T00:00:00Z,16.899,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,25,2022-08-02T01:00:00Z,16.595,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,26,2022-08-02T02:00:00Z,16.182,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,27,2022-08-02T03:00:00Z,15.833,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,28,2022-08-02T04:00:00Z,15.967,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,29,2022-08-02T05:00:00Z,16.189,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,30,2022-08-02T06:00:00Z,16.899,0.03,1.12,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,31,2022-08-02T07:00:00Z,17.246,0.03,1.1488,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,32,2022-08-02T08:00:00Z,17.178,0.03,1.1866,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,33,2022-08-02T09:00:00Z,16.965,0.03,1.2154,hybrid_economized,False,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,34,2022-08-02T10:00:00Z,17.327,0.605,1.1596,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,35,2022-08-02T11:00:00Z,17.638,0.6063,1.1662,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,36,2022-08-02T12:00:00Z,17.296,0.6049,1.1698,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,37,2022-08-02T13:00:00Z,16.87,0.6029,1.1734,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,38,2022-08-02T14:00:00Z,16.858,0.6029,1.1752,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
