region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,evaporative_mode_active,evaporative_engagement,model
DE,0,2022-08-01T00:00:00Z,17.434,0.1626,1.1368,hybrid_economized,False,0.2303,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,1,2022-08-01T01:00:00Z,17.213,0.112,1.12,hybrid_economized,False,0.1428,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,2,2022-08-01T02:00:00Z,17.056,0.0817,1.12,hybrid_economized,False,0.0902,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,3,2022-08-01T03:00:00Z,16.934,0.0625,1.12,hybrid_economized,False,0.0567,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,4,2022-08-01T04:00:00Z,16.788,0.0448,1.12,hybrid_economized,False,0.0259,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,5,2022-08-01T05:00:00Z,17.172,0.1036,1.12,hybrid_economized,False,0.1281,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,6,2022-08-01T06:00:00Z,17.696,0.2318,1.1297,hybrid_economized,False,0.3499,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,7,2022-08-01T07:00:00Z,18.143,0.3605,1.1423,hybrid_economized,True,0.5714,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,8,2022-08-01T08:00:00Z,18.441,0.444,1.1502,hybrid_economized,True,0.7142,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,9,2022-08-01T09:00:00Z,18.674,0.5026,1.1562,hybrid_economized,True,0.8141,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,10,2022-08-01T10:00:00Z,18.93,0.5566,1.1621,hybrid_economized,True,0.9055,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,11,2022-08-01T11:00:00Z,18.514,0.4632,1.1706,hybrid_economized,True,0.7469,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,12,2022-08-01T12:00:00Z,18.8,0.5506,1.17,hybrid_economized,True,0.896,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,13,2022-08-01T13:00:00Z,19.105,0.6121,1.1674,hybrid_economized,True,1.0,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,14,2022-08-01T14:00:00Z,18.87,0.6094,1.1647,hybrid_economized,True,0.9967,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
DE,15,2022-08-01T15:00:00Z,18.516,0.608,1.1647,hybrid_economized,True,0.9967,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
