region,slot_index,utc_timestamp,residual_load_mw,signal_model,source_dataset
ERCO,0,2018-07-23T00:00:00Z,66094.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,1,2018-07-23T01:00:00Z,64019.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,2,2018-07-23T02:00:00Z,61482.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,3,2018-07-23T03:00:00Z,57368.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,4,2018-07-23T04:00:00Z,51131.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,5,2018-07-23T05:00:00Z,45359.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,6,2018-07-23T06:00:00Z,41035.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,7,2018-07-23T07:00:00Z,38304.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,8,2018-07-23T08:00:00Z,35688.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,9,2018-07-23T09:00:00Z,34329.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,10,2018-07-23T10:00:00Z,35179.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,11,2018-07-23T11:00:00Z,36649.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,12,2018-07-23T12:00:00Z,38454.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,13,2018-07-23T13:00:00Z,39847.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,14,2018-07-23T14:00:00Z,42807.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,15,2018-07-23T15:00:00Z,47014.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,16,2018-07-23T16:00:00Z,52564.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,17,2018-07-23T17:00:00Z,57324.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,18,2018-07-23T18:00:00Z,60381.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,19,2018-07-23T19:00:00Z,63561.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,20,2018-07-23T20:00:00Z,65652.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,21,2018-07-23T21:00:00Z,66073.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,22,2018-07-23T22:00:00Z,65101.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,23,2018-07-23T23:00:00Z,63513.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,24,2018-07-24T00:00:00Z,62057.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,25,2018-07-24T01:00:00Z,58667.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,26,2018-07-24T02:00:00Z,56885.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,27,2018-07-24T03:00:00Z,54447.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,28,2018-07-24T04:00:00Z,49995.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,29,2018-07-24T05:00:00Z,46073.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,30,2018-07-24T06:00:00Z,43166.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,31,2018-07-24T07:00:00Z,41509.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,32,2018-07-24T08:00:00Z,40119.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
ERCO,33,2018-07-24T09:00:00Z,39373.0,eia930_residual_demand_minus_wind_solar (real 2018; BA=ERCO; 60min),EIA-930 Hourly Grid Monitor ERCO via https://www.eia.gov/electricity/gridmonitor/sixMonthFiles/EIA930_BALANCE_2018_Jul_Dec.csv
