region,slot_index,weather_time_utc,wet_bulb_c,direct_wue_l_per_kwh,pue,cooling_kappa,evaporative_mode_active,model
ERCO,0,2018-07-23T00:00:00Z,23.724,0.8042,1.249,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,1,2018-07-23T01:00:00Z,24.655,0.8059,1.2322,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,2,2018-07-23T02:00:00Z,24.072,0.8049,1.2172,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,3,2018-07-23T03:00:00Z,23.262,0.8031,1.2148,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,4,2018-07-23T04:00:00Z,23.032,0.8026,1.213,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,5,2018-07-23T05:00:00Z,22.802,0.802,1.2112,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,6,2018-07-23T06:00:00Z,22.111,0.8,1.2058,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,7,2018-07-23T07:00:00Z,21.732,0.7989,1.1992,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,8,2018-07-23T08:00:00Z,21.465,0.798,1.189,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,9,2018-07-23T09:00:00Z,21.461,0.798,1.186,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,10,2018-07-23T10:00:00Z,21.608,0.7985,1.1932,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,11,2018-07-23T11:00:00Z,21.243,0.7972,1.1776,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
ERCO,12,2018-07-23T12:00:00Z,21.351,0.7976,1.1734,hybrid_economized,True,"open-meteo archive + climate-driven hybrid-economized cooling (region_cooling_profiles base), T-dependent PUE"
