subcategory,component_id,quantity
IoT,processor_iot,1
IoT,dram_mobile_gb,1
IoT,flash_mobile_gb,8
IoT,board_assembly_iot,1
IoT,peripheral_iot,1
Smartphone,processor_phone,1
Smartphone,dram_mobile_gb,8
Smartphone,flash_mobile_gb,128
Smartphone,board_assembly_phone,1
Smartphone,peripheral_phone,1
Laptop,processor_laptop,1
Laptop,dram_compute_gb,16
Laptop,ssd_tb,0.5
Laptop,board_assembly_laptop,1
Laptop,peripheral_laptop,1
Server,processor_server,2
Server,dram_compute_gb,256
Server,ssd_tb,3.84
Server,board_assembly_server,1
Server,peripheral_server,1
