source_type,water_consumption_l_per_kwh_low,water_consumption_l_per_kwh_base,water_consumption_l_per_kwh_high,factor_strategy,source_id,source_note
biomass,0.050000,0.156000,0.300000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for biomass-like thermal generation."
coal,1.000000,1.438000,2.500000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for coal generation."
gas,0.100000,0.579000,1.000000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for natural-gas generation."
geothermal,0.100000,0.175000,0.400000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for geothermal generation."
hydro,2.040000,4.375000,32.810000,fixed,"macknick2012waterfactors;spang2014international","Hydropower is highly sensitive to reservoir evaporation allocation; the high scenario intentionally captures that uncertainty."
nuclear,1.170000,2.260000,2.860000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for nuclear generation."
oil,0.900000,1.438000,3.000000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for oil-fired thermal generation."
solar,0.000000,0.100000,0.130000,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for solar generation."
wind,0.000000,0.000000,0.038600,fixed,"macknick2012waterfactors;spang2014international","Operational freshwater consumption factor range for wind generation."
unknown,,,,inherit_non_storage_mix,"builder_rule","Unmapped or unknown consumption share inherits the non-storage slot average."
other,,,,inherit_non_storage_mix,"builder_rule","Residual technology bucket inherits the non-storage slot average."
hydro-discharge,,,,inherit_non_storage_mix,"builder_rule","Storage-like discharge inherits the non-storage slot average to avoid double counting storage as primary generation."
battery-discharge,,,,inherit_non_storage_mix,"builder_rule","Battery discharge inherits the non-storage slot average to avoid double counting storage as primary generation."
