region,reference_location,latitude,longitude,slot_index,forecast_datetime_utc,weather_time_utc,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,direct_wue_l_per_kwh,model,source_dataset,source_url
DE,Frankfurt,50.1109,8.6821,0,2025-02-26T10:00:00.000Z,2025-02-26T10:00,5.5,41.9,41.9,1.408141344,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,1,2025-02-26T11:00:00.000Z,2025-02-26T11:00,5.3,41.54,41.54,1.40269462464,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,2,2025-02-26T12:00:00.000Z,2025-02-26T12:00,5.4,41.72,41.72,1.4054241273599999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,3,2025-02-26T13:00:00.000Z,2025-02-26T13:00,5.2,41.36,41.36,1.39995283584,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,4,2025-02-26T14:00:00.000Z,2025-02-26T14:00,5.0,41.0,41.0,1.3944324,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,5,2025-02-26T15:00:00.000Z,2025-02-26T15:00,5.6,42.08,42.08,1.41084627456,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,6,2025-02-26T16:00:00.000Z,2025-02-26T16:00,5.6,42.08,42.08,1.41084627456,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,7,2025-02-26T17:00:00.000Z,2025-02-26T17:00,5.8,42.44,42.44,1.41621927744,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,8,2025-02-26T18:00:00.000Z,2025-02-26T18:00,5.3,41.54,41.54,1.40269462464,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,9,2025-02-26T19:00:00.000Z,2025-02-26T19:00,5.0,41.0,41.0,1.3944324,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,10,2025-02-26T20:00:00.000Z,2025-02-26T20:00,4.5,40.1,40.1,1.380416304,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,11,2025-02-26T21:00:00.000Z,2025-02-26T21:00,3.7,38.660000000000004,38.660000000000004,1.35735167424,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
DE,Frankfurt,50.1109,8.6821,12,2025-02-26T22:00:00.000Z,2025-02-26T22:00,3.3,37.94,37.94,1.34552449344,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
