country_name,country_code,withdrawal_gal_per_kwh,consumption_gal_per_kwh,withdrawal_l_per_kwh,consumption_l_per_kwh,source_dataset,source_url
Argentina,AR,341.38764488596036,3.0263200470642535,1292.2928138633217,11.45586756831246,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Australia,AU,41.30985007611282,1.2493523410014056,156.37479327339074,4.729313073994707,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Austria,AT,3737.403438762061,1.5116411959147582,14147.611018652027,5.722184396195578,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Belgium,BE,163.64323060371177,0.6920888934389088,619.45701349912,2.6198414527991654,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Brazil,BR,235.96940025024833,4.914497743964676,893.2413483707026,18.6033976724453,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Bulgaria,BG,100.27181858182932,1.2212239069313737,379.5701236627669,4.622835368200541,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Canada,CA,752.9318964750092,2.1572992709386893,2850.157273465968,8.166266081825922,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Chile,CL,121.17911078417147,2.779774242635218,458.71283393704414,10.522590174931029,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
China,CN,159.76620582103934,1.5867424299256618,604.7808781999316,6.006473492413394,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Cyprus,CY,14.956196270216722,0.34202428391532363,56.615361605095224,1.2947027547472276,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Denmark,DK,362.98786429129194,0.843629215380473,1374.0585389372493,3.1934839732279166,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Estonia,EE,202.0137208538988,0.5807992259172207,764.705119450035,2.1985642339251252,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
Finland,FI,570.9433520778706,1.1964172730810119,2161.2556929520324,4.5289320441020084,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
France,FR,650.5355691940714,0.9704882969043804,2462.5450095383853,3.673697835335932,WRI purchased-electricity appendix country factors,https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
