pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options,solver_iterations,solver_status
m000-duration-1h-deadline-25h,optimal,1742741623.0585825,True,0.0662851333618164,0.12198656509486565,node-1-fr-smartphone,5,192,0,Optimal
m001-duration-3h-deadline-5h,optimal,1742741623.0666637,True,0.006803989410400391,0.16870969528459695,node-5-fr-smartphone,3,32,0,Optimal
m002-duration-6h-deadline-30h,optimal,1742741623.0807834,True,0.013269901275634766,0.4619193905691939,node-1-fr-smartphone,5,232,0,Optimal
m003-duration-1h-deadline-3h,optimal,1742741623.08689,True,0.005252361297607422,0.12998656509486564,node-1-fr-smartphone,1,16,0,Optimal
m004-duration-3h-deadline-5h,optimal,1742741623.095315,True,0.006884574890136719,0.37795969528459694,node-5-fr-smartphone,3,32,0,Optimal
m005-duration-6h-deadline-30h,optimal,1742741623.1125944,True,0.015850067138671875,0.4619193905691939,node-1-fr-smartphone,5,232,0,Optimal
m006-duration-1h-deadline-3h,optimal,1742741623.1224675,True,0.008723020553588867,0.08198656509486565,node-1-fr-smartphone,1,16,0,Optimal
m007-duration-3h-deadline-5h,optimal,1742741623.1306496,True,0.007114887237548828,0.12685969528459695,node-5-fr-smartphone,3,32,0,Optimal
m008-duration-6h-deadline-12h,optimal,1742741623.1409166,True,0.009191513061523438,0.4619193905691939,node-1-fr-smartphone,4,88,0,Optimal
m009-duration-1h-deadline-3h,optimal,1742741623.1476154,True,0.005652189254760742,0.057986565094865654,node-1-fr-smartphone,1,16,0,Optimal
m010-duration-3h-deadline-5h,optimal,1742741623.1606936,True,0.012065649032592773,0.16870969528459695,node-5-fr-smartphone,3,32,0,Optimal
m011-duration-6h-deadline-12h,optimal,1742741623.1758285,True,0.013991355895996094,0.2459193905691939,node-1-fr-smartphone,4,88,0,Optimal
m012-duration-1h-deadline-3h,optimal,1742741623.187268,True,0.010338544845581055,0.057986565094865654,node-1-fr-smartphone,1,16,0,Optimal
m013-duration-3h-deadline-9h,optimal,1742741623.2010686,True,0.012543678283691406,0.12295969528459695,node-1-fr-smartphone,5,64,0,Optimal
m014-duration-6h-deadline-30h,optimal,1742741623.2231553,True,0.02090001106262207,0.7319193905691939,node-1-fr-smartphone,5,232,0,Optimal
m015-duration-1h-deadline-25h,optimal,1742741623.244104,True,0.019685029983520508,0.05448656509486565,node-1-fr-smartphone,5,192,0,Optimal
m016-duration-3h-deadline-27h,optimal,1742741623.267405,True,0.021873950958251953,0.36595969528459693,node-1-fr-smartphone,5,208,0,Optimal
m017-duration-6h-deadline-8h,optimal,1742741623.2846148,True,0.015200376510620117,0.4619193905691939,node-1-fr-smartphone,5,56,0,Optimal
m018-duration-1h-deadline-7h,optimal,1742741623.3014305,True,0.015309333801269531,0.07698656509486565,node-1-fr-smartphone,5,48,0,Optimal
m019-duration-3h-deadline-27h,optimal,1742741635.805011,True,0.13921165466308594,0.16345969528459695,node-5-fr-smartphone,4,203,0,Optimal
m020-duration-6h-deadline-12h,optimal,1742741635.8145332,True,0.008537054061889648,0.3269193905691939,node-5-fr-smartphone,5,78,0,Optimal
m021-duration-1h-deadline-25h,optimal,1742741635.8270428,True,0.01156926155090332,0.05448656509486565,node-1-fr-smartphone,4,187,0,Optimal
m022-duration-3h-deadline-27h,optimal,1742741635.8462696,True,0.015763521194458008,0.16345969528459695,node-5-fr-smartphone,4,201,0,Optimal
m023-duration-6h-deadline-8h,optimal,1742741635.8591464,True,0.010947942733764648,0.4619193905691939,node-5-fr-smartphone,4,49,0,Optimal
m024-duration-1h-deadline-7h,optimal,1742741635.868964,True,0.008866548538208008,0.04098656509486565,node-1-fr-smartphone,4,47,0,Optimal
m025-duration-3h-deadline-5h,optimal,1742741635.8786566,True,0.00859212875366211,0.23845969528459696,node-5-fr-smartphone,3,31,0,Optimal
m026-duration-6h-deadline-12h,optimal,1742741635.8898213,True,0.010058879852294922,0.4619193905691939,node-5-fr-smartphone,5,78,0,Optimal
